Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	-2.91	4.169160586976712	-2.91	121	0.9976	0.0001	0.0016817378997802735
20000	-2.2	3.7067505985701277	-2.2	241	0.9952	0.0001	0.0029863109191258746
30000	-2.58	4.025369548252682	-2.58	374	0.9928	0.0001	0.00401862296793196
40000	-2.88	3.729021319327633	-2.88	500	0.9904	0.0001	0.004916567471292284
50000	-2.69	3.9184052878690334	-2.69	623	0.988	0.0001	0.005972308980094062
60000	-2.44	4.07264042115186	-2.44	749	0.9856	0.0001	0.03932969563537174
70000	-2.38	4.353802935365817	-2.38	876	0.9832	0.0001	0.0724694867266549
80000	-2.91	4.580600397327844	-2.91	997	0.9808	0.0001	0.10525804983245002
90000	-2.38	3.588258630589495	-2.38	1120	0.9784	0.0001	0.13926340136263105
100000	-2.12	3.6749965986378816	-2.12	1248	0.976	0.0001	0.17447077367040847
110000	-2.83	4.02754267513083	-2.83	1367	0.9736	0.0001	0.20608118454615276
120000	-2.44	4.1673012850044815	-2.44	1493	0.9712	0.0001	0.23871575931708017
130000	-1.9	3.6235341863986883	-1.9	1619	0.9688	0.0001	0.272054436273045
140000	-2.95	4.750526286633934	-2.95	1738	0.9664	0.0001	0.30528175486458675
150000	-2.61	3.7891819697660343	-2.61	1868	0.964	0.0001	0.3375624315606223
160000	-2.16	3.6241412775994264	-2.16	1991	0.9616	0.0001	0.36822503242227766
170000	-2.46	4.264786043871369	-2.46	2110	0.9592	0.0001	0.3988191481431325
180000	-2.4	3.8729833462074166	-2.4	2233	0.9568	0.0001	0.42777317881584165
190000	-2.52	4.7211862916008736	-2.52	2356	0.9544	0.0001	0.45900223910808563
200000	-2.0	3.5242020373412193	-2.0	2484	0.952	0.0001	0.4887523242500093
210000	-2.76	4.301441618806421	-2.76	2604	0.9496	0.0001	0.5190778629647361
220000	-2.67	3.8498181775247517	-2.67	2725	0.9472	0.0001	0.5479394204086727
230000	-2.34	3.742245315315392	-2.34	2853	0.9448	0.0001	0.5773091681136026
240000	-1.98	4.197570726027139	-1.98	2979	0.9424	0.0001	0.6086922368738387
250000	-2.65	3.634212431875715	-2.65	3098	0.94	0.0001	0.639021758503384
260000	-2.14	3.9472015403320873	-2.14	3215	0.9376	0.0001	0.6681438642077976
270000	-2.03	4.229550803572407	-2.03	3337	0.9352	0.0001	0.7005247516764534
280000	-2.08	3.9941957888916764	-2.08	3462	0.9328	0.0001	0.7340227813190884
290000	-2.55	4.229361653961505	-2.55	3587	0.9304	0.0001	0.7679645089308421
300000	-2.83	3.7364555396792825	-2.83	3714	0.9279999999999999	0.0001	0.8007956249846353
310000	-1.73	3.117226331211771	-1.73	3841	0.9256	0.0001	0.8331270419889026
320000	-2.36	3.7987366320923073	-2.36	3957	0.9232	0.0001	0.8674419352081086
330000	-3.28	3.8989229281944002	-3.28	4088	0.9208000000000001	0.0001	0.9026581871509552
340000	-2.31	3.8018285074421754	-2.31	4215	0.9184	0.0001	0.9381256970432069
350000	-2.34	4.123639169471548	-2.34	4339	0.916	0.0001	0.9702099190155665
360000	-1.81	4.090708985004922	-1.81	4462	0.9136	0.0001	1.0043621582455105
370000	-2.62	3.9186222068477075	-2.62	4584	0.9112	0.0001	1.0407253199153477
380000	-2.38	4.081127295245763	-2.38	4711	0.9088	0.0001	1.0756914717621273
390000	-1.97	3.8612303738575346	-1.97	4839	0.9064	0.0001	1.1118515987528694
400000	-2.75	4.288064831599447	-2.75	4954	0.904	0.0001	1.1458163795868557
410000	-2.21	4.448134440414318	-2.21	5074	0.9016	0.0001	1.1803548222117954
420000	-2.44	3.9276456051940327	-2.44	5198	0.8992	0.0001	1.213947781920433
430000	-1.93	3.7874925742501464	-1.93	5327	0.8968	0.0001	1.2499275781048669
440000	-3.01	4.3623273604808706	-3.01	5446	0.8944	0.0001	1.2837145648399988
450000	-1.73	3.6765608930085736	-1.73	5564	0.892	0.0001	1.3178818860318926
460000	-1.81	3.084461055030522	-1.81	5694	0.8896	0.0001	1.3518395007981194
470000	-2.2	3.9724048132082412	-2.2	5820	0.8872	0.0001	1.3851398210393058
