Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	-1.61	3.4055689686159645	-1.61	126	0.9976	0.0001	0.0022794308265050253
20000	-3.08	3.8927625152325955	-3.08	247	0.9952	0.0001	0.0035224839051564536
30000	-2.82	4.579039200531046	-2.82	374	0.9928	0.0001	0.004783166845639546
40000	-2.61	4.8762588118351555	-2.61	484	0.9904	0.0001	0.00582816031244066
50000	-2.78	4.588202262324537	-2.78	607	0.988	0.0001	0.00709452125761244
60000	-3.12	3.8478045688418216	-3.12	724	0.9856	0.0001	0.027724963426589967
70000	-2.75	3.897114317029974	-2.75	856	0.9832	0.0001	0.04860286560323503
80000	-3.18	4.920121949708157	-3.18	974	0.9808	0.0001	0.0692707473701901
90000	-3.53	4.652859335935269	-3.53	1091	0.9784	0.0001	0.09010510471132066
100000	-2.32	3.70912388577141	-2.32	1213	0.976	0.0001	0.11069504963027106
110000	-3.34	4.626488949516685	-3.34	1336	0.9736	0.0001	0.13127199749151866
120000	-1.67	3.911662050842327	-1.67	1455	0.9712	0.0001	0.15198815100722843
130000	-2.45	3.8272052466519217	-2.45	1574	0.9688	0.0001	0.172634572452969
140000	-2.54	3.9456811832686127	-2.54	1692	0.9664	0.0001	0.19312591195106507
150000	-2.93	4.3133629571368095	-2.93	1810	0.964	0.0001	0.21355590244134268
160000	-2.34	4.106628787704095	-2.34	1935	0.9616	0.0001	0.2341578867038091
170000	-3.16	4.759663853677064	-3.16	2055	0.9592	0.0001	0.2551197485791312
180000	-2.89	4.507538130731675	-2.89	2171	0.9568	0.0001	0.27593153172069124
190000	-2.56	4.243394867320268	-2.56	2296	0.9544	0.0001	0.2967141104406781
200000	-2.93	4.135831234467867	-2.93	2416	0.952	0.0001	0.31733316838741304
210000	-2.32	3.7225797506567946	-2.32	2537	0.9496	0.0001	0.33802547487947676
220000	-2.59	3.852518656671243	-2.59	2664	0.9472	0.0001	0.35860306044419604
230000	-2.22	4.013925759153998	-2.22	2787	0.9448	0.0001	0.37914179762204486
240000	-1.74	3.2821334524970185	-1.74	2911	0.9424	0.0001	0.3998773411909739
250000	-3.68	4.728382387244078	-3.68	3025	0.94	0.0001	0.42125419212712184
260000	-2.69	4.527018886640523	-2.69	3149	0.9376	0.0001	0.4421352050039503
270000	-2.64	4.162979702088397	-2.64	3263	0.9352	0.0001	0.46304796516895297
280000	-2.14	3.6797282508359226	-2.14	3388	0.9328	0.0001	0.48394489890999265
290000	-2.71	3.721007927967905	-2.71	3516	0.9304	0.0001	0.5048692932393816
300000	-2.38	4.110425768700853	-2.38	3642	0.9279999999999999	0.0001	0.52567319088512
310000	-3.31	4.4038505878378755	-3.31	3768	0.9256	0.0001	0.5464888345532947
320000	-1.93	3.7343138593321266	-1.93	3891	0.9232	0.0001	0.5672159871790144
330000	-2.75	4.950505024742426	-2.75	4016	0.9208000000000001	0.0001	0.5882553262843027
