Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	-2.74	3.830456891808078	-2.5	129	0.9976	0.0001	0.0021672424342897203
20000	-2.5	4.468780594300866	-2.22	255	0.9952	0.0001	0.0031033153666390314
30000	-2.29	3.464953102135728	-1.59	384	0.9928	0.0001	0.004127072294553121
40000	-3.9	4.754997371187496	-1.59	496	0.9904	0.0001	0.004883088072141012
50000	-3.43	4.405122018741364	-1.59	610	0.988	0.0001	0.006097682648234897
60000	-2.78	4.307156834850572	-1.59	731	0.9856	0.0001	0.015940795209672717
70000	-2.88	4.561315599692703	-1.59	852	0.9832	0.0001	0.025014569759368898
80000	-3.07	3.633882221536631	-1.59	977	0.9808	0.0001	0.0340164370669259
90000	-2.24	3.5556152772762126	-1.59	1106	0.9784	0.0001	0.04340387960275014
100000	-2.6	3.939543120718442	-1.59	1225	0.976	0.0001	0.052410363886091445
110000	-3.21	3.9504303563029683	-1.59	1350	0.9736	0.0001	0.06151144517792596
120000	-2.05	3.8584323241440943	-1.59	1477	0.9712	0.0001	0.07058589153819614
130000	-2.61	4.024661476447429	-1.59	1597	0.9688	0.0001	0.07970739093091753
140000	-2.45	3.7346351896805126	-1.59	1721	0.9664	0.0001	0.08890856954786512
150000	-2.69	4.417454017870474	-1.59	1841	0.964	0.0001	0.09819056179788377
160000	-2.66	3.9324801334526787	-1.59	1959	0.9616	0.0001	0.10754455705483755
170000	-2.33	4.1208130265761875	-1.59	2085	0.9592	0.0001	0.11717860758304596
180000	-2.28	3.9040491800180996	-1.59	2215	0.9568	0.0001	0.1264661827352312
190000	-2.28	3.829046878793729	-1.59	2338	0.9544	0.0001	0.13569245212607914
200000	-2.19	3.3725213120156856	-1.59	2465	0.952	0.0001	0.1449283448855082
210000	-2.72	3.6798913027425146	-1.59	2584	0.9496	0.0001	0.1542450338602066
220000	-2.27	3.7171359942837707	-1.59	2700	0.9472	0.0001	0.1634573154317008
230000	-2.38	3.928816615725402	-1.59	2821	0.9448	0.0001	0.17274860560894012
240000	-3.16	4.584146594514621	-1.59	2942	0.9424	0.0001	0.18205941451920404
250000	-2.37	4.330484961294751	-1.59	3062	0.94	0.0001	0.19176311373710633
260000	-2.06	3.3190962625389457	-1.59	3188	0.9376	0.0001	0.2012457337644365
270000	-3.08	4.267739448466834	-1.59	3310	0.9352	0.0001	0.21061764968766106
280000	-2.62	4.056550258532488	-1.59	3427	0.9328	0.0001	0.219890283147494
290000	-2.68	3.890706876648509	-1.59	3549	0.9304	0.0001	0.22914615670839947
300000	-2.14	3.4118030423809635	-1.59	3674	0.9279999999999999	0.0001	0.23837971223725213
310000	-2.71	3.5924782532396775	-1.59	3796	0.9256	0.0001	0.24773343331283992
320000	-2.48	3.623478991245844	-1.59	3918	0.9232	0.0001	0.25705166750484043
330000	-2.49	3.983704306295838	-1.59	4049	0.9208000000000001	0.0001	0.26648408664597406
340000	-2.5	3.6041642581880198	-1.59	4175	0.9184	0.0001	0.2756306893295712
