Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Avg_IntrReward_Last_100_Episodes	Elapsed_Time_Hours
10000	-2.82	3.814131618075076	-2.82	126	0.991	0.0001	nan	0.003790723548995124
20000	-2.37	4.5092238800041855	-2.37	246	0.982	0.0001	nan	0.0052519083023071286
30000	-3.21	4.488418429692133	-3.21	368	0.973	0.0001	nan	0.006396890150176154
40000	-2.73	3.804878447467146	-2.73	498	0.964	0.0001	nan	0.007197722395261129
50000	-3.25	4.345975149491768	-3.25	619	0.955	0.0001	nan	0.008224031395382352
60000	-1.68	2.9929249907072513	-1.68	737	0.946	0.0001	0.9058283	0.030966168973180982
70000	-1.54	3.0965141691908986	-1.54	867	0.9369999999999999	0.0001	1.4987324	0.05341051816940308
80000	-1.78	3.141910246967599	-1.78	994	0.9279999999999999	0.0001	1.4594585	0.07587372561295827
90000	-1.7	3.24499614791759	-1.7	1117	0.919	0.0001	1.398491	0.09870808627870348
100000	-1.55	3.204293994002423	-1.55	1246	0.91	0.0001	1.4852078	0.12119676947593688
110000	-2.15	3.3477604454321397	-2.15	1359	0.901	0.0001	1.5304924	0.14374603417184617
120000	-2.04	3.1461722775461616	-2.04	1483	0.892	0.0001	1.3937455	0.16625380681620705
130000	-1.82	3.222979987527071	-1.82	1612	0.883	0.0001	1.3820169	0.18869084265496996
140000	-1.47	3.3300300298946253	-1.47	1733	0.874	0.0001	1.3371572	0.2112529323498408
150000	-1.59	2.8708709479877355	-1.59	1860	0.865	0.0001	1.4041765	0.23375052471955618
160000	-1.28	2.6498301832381634	-1.28	1989	0.856	0.0001	1.3847522	0.2562956797414356
170000	-2.43	3.438764312947312	-2.43	2114	0.847	0.0001	1.3119305	0.27937404963705276
180000	-1.64	3.021655175561897	-1.64	2246	0.838	0.0001	1.3083354	0.30184534821245407
190000	-1.9	3.407345007480164	-1.9	2364	0.829	0.0001	1.2136071	0.3242874828974406
200000	-1.49	2.8965324096236174	-1.49	2485	0.82	0.0001	1.2552357	0.34692688167095187
210000	-1.35	2.977834783865619	-1.35	2607	0.8109999999999999	0.0001	1.1995668	0.369489140841696
220000	-1.91	3.2344860488182663	-1.91	2729	0.802	0.0001	1.2857945	0.39181714945369295
230000	-2.19	3.4833748003911382	-2.19	2850	0.7929999999999999	0.0001	1.2116369	0.4142094217406379
240000	-1.56	3.001066477104431	-1.56	2974	0.784	0.0001	1.100268	0.43652804017066954
250000	-1.79	3.265868950218303	-1.79	3104	0.775	0.0001	1.1430248	0.45923123472266725
260000	-1.22	2.7039970414184995	-1.22	3231	0.766	0.0001	1.1403933	0.4815471891562144
270000	-0.76	2.4171057072457547	-0.76	3362	0.757	0.0001	1.13941	0.5037758525874879
280000	-1.57	2.9060454229072197	-1.57	3488	0.748	0.0001	1.0828034	0.5261817349990209
290000	-1.65	3.3537292675468007	-1.65	3612	0.739	0.0001	1.1114026	0.548701786465115
300000	-1.64	3.2909573075322625	-1.64	3736	0.73	0.0001	1.1101625	0.5713512623310089
310000	-2.17	3.541341553705319	-2.17	3862	0.721	0.0001	1.050193	0.5936765709850523
320000	-1.38	2.8417600180170037	-1.38	3989	0.712	0.0001	1.0366073	0.6159456475575765
330000	-2.15	3.71853465763061	-2.15	4111	0.703	0.0001	0.9664369	0.6387234212292565
340000	-1.36	2.8862432329933667	-1.36	4242	0.694	0.0001	0.9315555	0.6611211350891325
350000	-1.79	3.281143093496533	-1.79	4368	0.685	0.0001	0.98096716	0.6835136024157206
360000	-2.38	3.5320815392626486	-2.38	4489	0.6759999999999999	0.0001	0.917043	0.7057636582189136
370000	-1.79	3.134629164670041	-1.79	4618	0.667	0.0001	0.9351629	0.7283897982703315
380000	-1.36	2.8089855820206697	-1.36	4743	0.6579999999999999	0.0001	0.96047974	0.7513240334060457
390000	-1.62	3.1233955881380124	-1.62	4877	0.649	0.0001	0.9563203	0.774134431944953
400000	-1.57	3.0765402646479374	-1.57	5013	0.6399999999999999	0.0001	0.896689	0.7972455755869547
410000	-1.78	3.318373095358628	-1.78	5146	0.631	0.0001	0.8855662	0.8199558962715997
420000	-1.72	3.0168858115613193	-1.72	5271	0.622	0.0001	0.8946591	0.842746360566881
430000	-2.29	3.456284131838701	-2.29	5396	0.613	0.0001	0.8878443	0.8656250983476639
440000	-2.11	3.7118593723361886	-2.11	5523	0.604	0.0001	0.86533874	0.8883180199729072
450000	-1.75	3.2167530212933664	-1.75	5655	0.595	0.0001	0.92632276	0.9109838636053933
460000	-1.6	3.234192325759246	-1.6	5781	0.586	0.0001	0.84707224	0.9336428591277864
470000	-1.87	3.100499959683922	-1.87	5914	0.577	0.0001	0.7980464	0.956243544154697
480000	-1.93	3.0895145249699025	-1.93	6051	0.5680000000000001	0.0001	0.8050223	0.9793192255496979
490000	-1.62	3.357916020391219	-1.62	6186	0.5589999999999999	0.0001	0.83222914	1.0019353161917792
500000	-2.28	3.808096637429255	-2.28	6311	0.55	0.0001	0.7700962	1.0246130141947005
510000	-2.44	4.01078545923364	-2.44	6433	0.5409999999999999	0.0001	0.7906468	1.0472832065820694
520000	-1.33	3.066121328323457	-1.33	6557	0.532	0.0001	0.7571381	1.0701814049482345
530000	-2.13	3.263908699703471	-2.13	6693	0.5229999999999999	0.0001	0.7651651	1.0928508718808492
540000	-1.45	3.099596747965774	-1.45	6820	0.514	0.0001	0.78131974	1.1158361626333662
550000	-1.79	3.482226299366542	-1.79	6944	0.5049999999999999	0.0001	0.7247894	1.1385489224063026
560000	-1.62	3.025822202311299	-1.62	7076	0.4959999999999999	0.0001	0.7458946	1.1617811320887672
570000	-1.89	2.959374934002111	-1.89	7198	0.487	0.0001	0.73542696	1.1845232932435141
580000	-2.47	3.5226552485305738	-2.47	7329	0.478	0.0001	0.73025	1.2072627074188655
590000	-1.85	3.3357907608241857	-1.85	7457	0.469	0.0001	0.6874341	1.2302023923397065
600000	-1.39	3.0525235461827314	-1.39	7586	0.45999999999999996	0.0001	0.80493116	1.2530229745308559
610000	-2.19	3.0812172919156486	-2.19	7702	0.45099999999999996	0.0001	0.75693	1.2758935995896656
620000	-1.81	3.6788449274194748	-1.81	7829	0.44199999999999995	0.0001	0.7619747	1.2987468863858116
630000	-1.43	3.0700325731171	-1.43	7961	0.43299999999999994	0.0001	0.7258063	1.3217348767651451
