Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	-2.85	3.9959354349138323	-2.85	112	0.9976	0.0001	0.004648492998547024
20000	-2.28	4.402453861200591	-2.28	232	0.9952	0.0001	0.006851039263937209
30000	-1.98	3.852220139088627	-1.98	356	0.9928	0.0001	0.00822755773862203
40000	-1.91	3.2127713893148395	-1.91	484	0.9904	0.0001	0.009258762465582954
50000	-2.19	3.3096676570314427	-2.19	607	0.988	0.0001	0.010760654211044312
60000	-2.59	3.6251758578033155	-2.59	729	0.9856	0.0001	0.03291156139638689
70000	-2.57	3.470605134555068	-2.57	856	0.9832	0.0001	0.055058359172609116
80000	-2.51	3.7053879688907068	-2.51	982	0.9808	0.0001	0.07702381021446651
90000	-2.25	3.6616253221759325	-2.25	1105	0.9784	0.0001	0.09970740093125237
100000	-3.19	5.201336366742685	-3.19	1224	0.976	0.0001	0.12173444973097908
110000	-2.49	4.121880638737614	-2.49	1342	0.9736	0.0001	0.14372987826665243
120000	-2.91	4.563102015077024	-2.91	1466	0.9712	0.0001	0.165707454946306
130000	-2.78	4.318749819102746	-2.78	1581	0.9688	0.0001	0.18776902967029147
140000	-2.44	3.6036648012821617	-2.44	1708	0.9664	0.0001	0.20980863240030076
150000	-2.03	3.609584463619046	-2.03	1833	0.964	0.0001	0.23181074897448223
160000	-2.53	4.026052657380427	-2.53	1961	0.9616	0.0001	0.25386167354053923
170000	-1.71	3.3054349184335794	-1.71	2084	0.9592	0.0001	0.27643782397111255
180000	-2.14	3.5861399861132024	-2.14	2213	0.9568	0.0001	0.29848060488700867
190000	-1.95	3.761316258971054	-1.95	2335	0.9544	0.0001	0.3205427214172151
200000	-2.02	3.8313966122029184	-2.02	2456	0.952	0.0001	0.34256417214870455
210000	-2.08	3.55437758264369	-2.08	2581	0.9496	0.0001	0.3646669676568773
