Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Avg_IntrReward_Last_100_Episodes	Elapsed_Time_Hours
10000	-3.1627906976744184	4.181522102742902	-inf	86	0.991	0.0001	nan	0.005136204626825121
20000	-2.28	4.020149250960714	-2.28	181	0.982	0.0001	nan	0.00860840446419186
30000	-2.47	3.830026109571578	-2.47	263	0.973	0.0001	nan	0.012492494715584649
40000	-2.92	4.196855966077464	-2.92	350	0.964	0.0001	nan	0.01618197785483466
50000	-2.34	3.350283570087762	-2.34	439	0.955	0.0001	nan	0.01934025526046753
60000	-2.81	4.218281640668389	-2.81	525	0.946	0.0001	0.5392539	0.043251350455813936
70000	-2.62	4.440225219513082	-2.62	616	0.9369999999999999	0.0001	0.49390638	0.06686476250489552
80000	-1.56	3.479425239892359	-1.56	718	0.9279999999999999	0.0001	0.4468185	0.09061401976479425
90000	-1.93	3.3623057564712937	-1.93	814	0.919	0.0001	3.3647454	0.11440229992071788
100000	-2.37	3.976568872784677	-2.37	896	0.91	0.0001	0.6843029	0.13788730793529086
110000	-2.54	3.8351531912037102	-2.54	993	0.901	0.0001	0.3273145	0.161512318915791
120000	-2.49	4.264961899009181	-2.49	1075	0.892	0.0001	0.45375678	0.1855312807692422
130000	-2.41	3.6168909300668717	-2.41	1171	0.883	0.0001	0.35368383	0.2091568254099952
140000	-2.55	3.691544392256444	-2.55	1255	0.874	0.0001	0.46587566	0.23292414241366916
150000	-2.65	3.886836760143137	-2.65	1337	0.865	0.0001	0.4691192	0.25724473767810396
160000	-3.21	4.075033742191591	-3.21	1425	0.856	0.0001	0.3383197	0.28056043174531725
170000	-2.01	3.1128604208990804	-2.01	1527	0.847	0.0001	0.20126961	0.3038088925017251
180000	-2.16	4.328325311249144	-2.16	1615	0.838	0.0001	0.17572919	0.3271870722373327
190000	-1.76	3.3049054449408986	-1.76	1716	0.829	0.0001	0.23258783	0.35057788802517786
200000	-1.92	3.2332027465038444	-1.92	1812	0.82	0.0001	0.18035382	0.3737101715803146
210000	-2.57	3.909616349464484	-2.57	1897	0.8109999999999999	0.0001	0.28936756	0.39701773034201726
220000	-2.99	4.339343268283808	-2.99	1984	0.802	0.0001	0.1474778	0.42079408976766797
230000	-2.63	3.8305482636301558	-2.63	2076	0.7929999999999999	0.0001	0.22587219	0.44480319612556035
240000	-2.08	3.866988492354225	-2.08	2163	0.784	0.0001	0.067151144	0.4687353389792972
250000	-2.74	3.777883005070432	-2.74	2255	0.775	0.0001	0.13844389	0.492082020772828
260000	-2.8	3.7175260590882204	-2.8	2346	0.766	0.0001	0.16754337	0.5153179826339086
270000	-2.42	3.3650557201924607	-2.42	2440	0.757	0.0001	0.26699507	0.5384826972749498
280000	-3.1	4.371498598878879	-3.1	2526	0.748	0.0001	0.2369307	0.5614683964517382
290000	-2.76	4.091747792814215	-2.76	2612	0.739	0.0001	0.2657739	0.5845291392008464
300000	-1.83	3.4815370168935447	-1.83	2716	0.73	0.0001	0.14634633	0.6079570787482792
