Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Avg_IntrReward_Last_100_Episodes	Elapsed_Time_Hours
10000	-2.48	4.462017480916004	-2.48	121	0.991	0.0001	nan	0.0025552539692984687
20000	-2.99	3.9357210266989195	-2.99	244	0.982	0.0001	nan	0.004088085757361518
30000	-2.39	3.799723674163688	-2.39	366	0.973	0.0001	nan	0.005289096302456326
40000	-2.3	3.8871583451153615	-2.3	487	0.964	0.0001	nan	0.006153114901648628
50000	-2.28	3.924487227651531	-2.28	612	0.955	0.0001	nan	0.007291292680634393
60000	-2.58	4.079656848314573	-2.58	737	0.946	0.0001	nan	0.02362339397271474
70000	-2.64	3.9585856059961624	-2.64	861	0.9369999999999999	0.0001	nan	0.03923858046531677
80000	-2.32	3.5605617534316125	-2.32	983	0.9279999999999999	0.0001	nan	0.05468413876162635
90000	-1.91	3.9168737533905786	-1.91	1110	0.919	0.0001	nan	0.07056366125742594
100000	-2.47	3.8221852388391637	-2.47	1235	0.91	0.0001	nan	0.08591041849719154
110000	-2.64	3.961110955275047	-2.64	1360	0.901	0.0001	nan	0.10141257392035591
120000	-2.68	4.117960660326905	-2.68	1482	0.892	0.0001	nan	0.11680409047338698
130000	-1.76	4.247634635888543	-1.76	1601	0.883	0.0001	nan	0.13223578711350759
140000	-2.11	4.002236874549031	-2.11	1727	0.874	0.0001	nan	0.14767062889205085
150000	-2.57	3.7980389676779254	-2.57	1854	0.865	0.0001	nan	0.16303824179702334
160000	-1.37	3.1453298714125357	-1.37	1981	0.856	0.0001	nan	0.17843961702452765
170000	-2.54	3.748119528510264	-2.54	2107	0.847	0.0001	nan	0.1944664975007375
180000	-2.34	4.224263249372605	-2.34	2230	0.838	0.0001	nan	0.20986316356394025
190000	-2.02	3.7039978401721565	-2.02	2355	0.829	0.0001	nan	0.22527526179949442
200000	-2.01	3.368961264247483	-2.01	2485	0.82	0.0001	nan	0.24077001180913712
210000	-1.95	4.028337125911881	-1.95	2610	0.8109999999999999	0.0001	nan	0.25623009085655213
220000	-1.5	3.1543620591175006	-1.5	2731	0.802	0.0001	nan	0.2717647541231579
230000	-2.03	3.798565518718876	-2.03	2856	0.7929999999999999	0.0001	nan	0.28726329664389294
240000	-1.89	3.6821053760043316	-1.89	2983	0.784	0.0001	nan	0.3028112710184521
250000	-2.6	4.012480529547776	-2.6	3101	0.775	0.0001	nan	0.31872628298070693
260000	-1.76	3.728592227637664	-1.76	3229	0.766	0.0001	nan	0.3343108605676227
270000	-1.75	3.686122624113311	-1.75	3354	0.757	0.0001	nan	0.3498770304520925
280000	-2.02	3.9597474666953194	-2.02	3478	0.748	0.0001	nan	0.36557554152276783
290000	-2.77	4.803863028855007	-2.77	3603	0.739	0.0001	nan	0.38117836150858136
300000	-2.28	3.5890945933480216	-2.28	3731	0.73	0.0001	nan	0.39681547661622363
310000	-1.81	4.129636787902781	-1.81	3850	0.721	0.0001	nan	0.4124446951680713
320000	-1.58	3.8837610637113094	-1.58	3966	0.712	0.0001	nan	0.42810900403393637
330000	-1.77	3.7198252647133843	-1.77	4087	0.703	0.0001	nan	0.44432103951772056
340000	-2.24	4.1063852717444815	-2.24	4205	0.694	0.0001	nan	0.4600542669826084
350000	-1.93	4.023070966314166	-1.93	4338	0.685	0.0001	nan	0.4757408533493678
360000	-1.78	3.9864269716125493	-1.78	4461	0.6759999999999999	0.0001	nan	0.4914916608068678
370000	-1.24	3.19411959700948	-1.24	4585	0.667	0.0001	nan	0.5072352917326821
380000	-1.1	3.961060464067672	-1.1	4703	0.6579999999999999	0.0001	nan	0.5229549258947372
390000	-2.48	4.330080830654319	-2.48	4832	0.649	0.0001	nan	0.5387967252731323
400000	-1.41	3.449913042382373	-1.41	4960	0.6399999999999999	0.0001	nan	0.554635977546374
410000	-1.2	3.836665218650176	-1.2	5081	0.631	0.0001	nan	0.5710196724202898
420000	-1.36	4.182152555801856	-1.36	5205	0.622	0.0001	nan	0.5868901430235969
430000	-1.44	3.70491565356082	-1.44	5324	0.613	0.0001	nan	0.6028242267502679
440000	-2.11	4.560471466855153	-2.11	5440	0.604	0.0001	nan	0.6188911877738105
450000	-2.22	4.715039766534319	-2.22	5550	0.595	0.0001	nan	0.6349774720933702
460000	-1.11	3.797090991798853	-1.11	5673	0.586	0.0001	nan	0.6511739373207093
470000	-1.33	3.8368085696317973	-1.33	5792	0.577	0.0001	nan	0.6675580460495419
480000	-1.12	4.50395381859095	-1.12	5912	0.5680000000000001	0.0001	nan	0.6838067756096522
490000	-1.13	4.469127431613469	-1.13	6026	0.5589999999999999	0.0001	nan	0.7006394768423504
500000	-1.59	3.6058147484306513	-1.59	6142	0.55	0.0001	nan	0.7170672438542048
510000	-1.35	4.37121264639459	-1.35	6261	0.5409999999999999	0.0001	nan	0.7334891630543603
520000	-1.57	4.22907791368284	-1.57	6369	0.532	0.0001	nan	0.7499957843621572
530000	-1.33	4.538843465024983	-1.33	6490	0.5229999999999999	0.0001	nan	0.7662893078724543
540000	-1.3	4.4418464629025625	-1.3	6609	0.514	0.0001	nan	0.7825939466555913
550000	-1.33	4.030024813819389	-1.33	6730	0.5049999999999999	0.0001	nan	0.7989584987693362
560000	-0.81	3.45454772727198	-0.81	6846	0.4959999999999999	0.0001	nan	0.8152233889367846
570000	-0.87	3.7567406085595003	-0.87	6968	0.487	0.0001	nan	0.8315084466007021
580000	-1.64	4.288402966140192	-1.64	7081	0.478	0.0001	nan	0.8480751166078779
590000	-1.33	4.164264640966037	-1.33	7191	0.469	0.0001	nan	0.8643963950210147
600000	-0.34	4.264317061382749	-0.34	7299	0.45999999999999996	0.0001	nan	0.8808357428179847
610000	-1.25	4.689083066016212	-1.25	7412	0.45099999999999996	0.0001	nan	0.8972129999929004
620000	-1.09	4.35452638067563	-1.09	7514	0.44199999999999995	0.0001	nan	0.9136573599444495
630000	-0.5	3.5369478367654787	-0.5	7630	0.43299999999999994	0.0001	nan	0.9301361334323883
640000	-0.34	3.6502602646934643	-0.34	7743	0.42399999999999993	0.0001	nan	0.9465273391538196
650000	-0.07	3.3652785917365	-0.07	7847	0.4149999999999999	0.0001	nan	0.9630179148250156
660000	0.05	4.2458803562983265	0.05	7957	0.4059999999999999	0.0001	nan	0.9794499582714504
670000	-0.23	3.817996856991896	-0.23	8063	0.3969999999999999	0.0001	nan	0.9963730155097114
680000	-0.12	3.31746891469988	-0.12	8162	0.3879999999999999	0.0001	nan	1.0128405481576919
690000	-0.52	3.8664712594302317	-0.52	8269	0.379	0.0001	nan	1.0293364138735666
700000	0.09	4.035083642255758	0.09	8369	0.37	0.0001	nan	1.0458987184365591
710000	-0.27	3.574506959008473	-0.27	8468	0.361	0.0001	nan	1.0625130199061499
720000	-0.48	4.177271836976857	-0.48	8575	0.352	0.0001	nan	1.079106012251642
730000	0.36	3.2047464798326875	0.36	8673	0.34299999999999997	0.0001	nan	1.0957129685084026
740000	-0.09	3.4470131998586835	-0.09	8773	0.33399999999999996	0.0001	nan	1.1124411369694605
750000	0.5	3.3481338085566414	0.5	8871	0.32499999999999996	0.0001	nan	1.1291146453883913
760000	-0.65	3.9404948927767944	-0.65	8955	0.31599999999999995	0.0001	nan	1.145873844888475
