Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	-2.09	3.99773685977454	-2.09	124	0.9976	0.0001	0.002837213145362006
20000	-2.43	3.901935417200033	-2.43	242	0.9952	0.0001	0.00425104386276669
30000	-2.22	3.6539841269496507	-2.22	365	0.9928	0.0001	0.005402382479773628
40000	-2.86	3.9950469333913965	-2.86	490	0.9904	0.0001	0.0063869133260515
50000	-2.52	3.7695623088098706	-2.52	614	0.988	0.0001	0.007620493769645691
60000	-2.3	3.950949253027682	-2.3	739	0.9856	0.0001	0.2264358032411999
70000	-2.67	3.4148352815326244	-2.67	867	0.9832	0.0001	0.444089615477456
80000	-2.36	3.7829089336118047	-2.36	994	0.9808	0.0001	0.6621142784092161
90000	-2.13	3.9361275385840844	-2.13	1118	0.9784	0.0001	0.8800131146113078
100000	-2.98	4.137583836008644	-2.98	1235	0.976	0.0001	1.0986302109559376
110000	-2.8	3.4438350715445134	-2.8	1358	0.9736	0.0001	1.3171827291117775
120000	-2.39	3.583001535026185	-2.39	1474	0.9712	0.0001	1.535278497868114
130000	-3.03	4.4910021153412965	-3.03	1602	0.9688	0.0001	1.754176491830084
140000	-2.52	4.4485503256679015	-2.52	1717	0.9664	0.0001	1.9733471960491604
150000	-2.89	4.734754481491094	-2.89	1833	0.964	0.0001	2.1924213381608326
160000	-2.6	3.9648455203198023	-2.6	1958	0.9616	0.0001	2.4111297282907698
170000	-3.04	3.984771009731927	-3.04	2075	0.9592	0.0001	2.63059626241525
180000	-1.94	3.7197311730822697	-1.94	2195	0.9568	0.0001	2.84969448433982
190000	-2.21	3.821766607211905	-2.21	2314	0.9544	0.0001	3.0693283508883584
200000	-2.13	3.5317276225666103	-2.13	2434	0.952	0.0001	3.2886943309174645
210000	-2.46	4.352975993501457	-2.46	2553	0.9496	0.0001	3.50809831155671
220000	-2.61	3.754717033279605	-2.61	2674	0.9472	0.0001	3.729497387342983
230000	-1.74	3.82	-1.74	2800	0.9448	0.0001	3.950133564074834
240000	-2.34	3.666660606055597	-2.34	2917	0.9424	0.0001	4.171789523892932
250000	-2.57	3.8033011976439624	-2.57	3040	0.94	0.0001	4.393240743875504
260000	-2.35	4.157823950096974	-2.35	3161	0.9376	0.0001	4.612348629898495
270000	-2.69	4.160997476567368	-2.69	3282	0.9352	0.0001	4.83261363433467
280000	-2.26	3.7379673620833023	-2.26	3408	0.9328	0.0001	5.0529539710945555
290000	-2.91	4.103888400042087	-2.91	3534	0.9304	0.0001	5.273599759207832
300000	-2.68	4.498622011238552	-2.68	3664	0.9279999999999999	0.0001	5.493460327320629
310000	-2.4	3.9949968710876353	-2.4	3787	0.9256	0.0001	5.7133029809925295
320000	-2.0	3.560898762952971	-2.0	3913	0.9232	0.0001	5.933548153307703
330000	-2.4	3.358571124749333	-2.4	4034	0.9208000000000001	0.0001	6.1541941869258885
340000	-1.9	3.651027252705737	-1.9	4157	0.9184	0.0001	6.375885086655617
350000	-2.37	3.986615105575154	-2.37	4269	0.916	0.0001	6.598080055316289
360000	-2.38	4.004447527437462	-2.38	4391	0.9136	0.0001	6.819090281062656
370000	-2.56	3.5925478424093393	-2.56	4523	0.9112	0.0001	7.040031600660748
380000	-2.61	4.019689042699697	-2.61	4637	0.9088	0.0001	7.261550145281686
390000	-2.03	3.680910213520564	-2.03	4769	0.9064	0.0001	7.483724920153618
400000	-1.73	3.93917504053831	-1.73	4889	0.904	0.0001	7.705873382753796
410000	-2.5	3.928103868280471	-2.5	5017	0.9016	0.0001	7.927899940808614
420000	-2.56	4.089792170758803	-2.56	5140	0.8992	0.0001	8.149409975012144
430000	-2.26	3.817381301363541	-2.26	5263	0.8968	0.0001	8.372516246040663
440000	-2.05	3.5927009338379388	-2.05	5387	0.8944	0.0001	8.595555464559132
450000	-1.67	3.964984237043068	-1.67	5518	0.892	0.0001	8.819240440395143
460000	-2.33	4.111094744712167	-2.33	5642	0.8896	0.0001	9.042153365214666
470000	-2.28	4.226298616993361	-2.28	5761	0.8872	0.0001	9.265564655661583
480000	-2.2	3.8340579025361623	-2.2	5887	0.8848	0.0001	9.48615364505185
490000	-2.5	4.028647415696738	-2.5	6009	0.8824	0.0001	9.70809591975477
500000	-2.54	4.077793521011087	-2.54	6132	0.88	0.0001	9.92916420797507
510000	-1.96	3.736094217227397	-1.96	6255	0.8775999999999999	0.0001	10.152309328052732
520000	-1.43	3.4445754455375197	-1.43	6384	0.8752	0.0001	10.376420987314647
530000	-2.67	3.6001527745361033	-2.67	6506	0.8728	0.0001	10.601202673382229
540000	-2.41	4.4499325837589945	-2.41	6628	0.8704000000000001	0.0001	10.82420855641365
550000	-2.14	3.649712317429964	-2.14	6749	0.868	0.0001	11.046819610993067
560000	-2.18	3.6589069406039827	-2.18	6871	0.8655999999999999	0.0001	11.271345708701345
570000	-2.2	3.646916505762094	-2.2	6992	0.8632	0.0001	11.494368716610802
580000	-2.0	4.064480286580315	-2.0	7111	0.8608	0.0001	11.716985018385781
590000	-2.25	3.688834504284517	-2.25	7237	0.8584	0.0001	11.938884163300196
600000	-3.07	4.474941340397659	-3.07	7364	0.856	0.0001	12.162000651359557
610000	-2.07	3.975562853232231	-2.07	7485	0.8536	0.0001	12.385343171225653
620000	-1.79	3.622968396218769	-1.79	7613	0.8512	0.0001	12.608596277568076
630000	-2.58	4.34092156114344	-2.58	7734	0.8488	0.0001	12.832410833901829
640000	-2.48	3.94329811198697	-2.48	7859	0.8464	0.0001	13.055889270438088
650000	-1.89	3.7118593723361886	-1.89	7983	0.844	0.0001	13.279983566204708
660000	-2.04	3.8364566985696587	-2.04	8112	0.8416	0.0001	13.50447716501024
670000	-2.25	4.229361653961505	-2.25	8244	0.8392	0.0001	13.727656380666627
680000	-2.42	3.7554760017872564	-2.42	8376	0.8368	0.0001	13.951513437893656
690000	-2.23	3.9467835005229257	-2.23	8489	0.8344	0.0001	14.176008097529412
700000	-2.42	4.022884537244389	-2.42	8612	0.832	0.0001	14.400799870027436
710000	-2.22	4.260469457700642	-2.22	8737	0.8296	0.0001	14.62525343477726
720000	-2.33	3.8627839701438136	-2.33	8854	0.8271999999999999	0.0001	14.849022471110025
730000	-2.11	3.6521089797540274	-2.11	8979	0.8248	0.0001	15.073846504092216
740000	-2.35	4.08013480169467	-2.35	9101	0.8224	0.0001	15.298003252877129
750000	-2.23	3.7546104991063984	-2.23	9226	0.82	0.0001	15.522766882048712
760000	-2.32	3.9392385050920686	-2.32	9351	0.8176	0.0001	15.748198956184916
770000	-2.19	3.8044579114507235	-2.19	9486	0.8151999999999999	0.0001	15.973416503535377
780000	-2.61	3.6929527481407063	-2.61	9608	0.8128	0.0001	16.199189091324808
790000	-1.92	3.5656135516906486	-1.92	9736	0.8104	0.0001	16.42554981165462
800000	-1.68	3.585749572962395	-1.68	9864	0.808	0.0001	16.653578048613337
810000	-2.8	3.9166312055132275	-2.8	10000	0.8056	0.0001	16.8807794450389
820000	-2.82	3.879123612364009	-2.82	10119	0.8032	0.0001	17.107536849710677
830000	-3.06	4.00204947495655	-3.06	10246	0.8008	0.0001	17.333139864206313
840000	-1.79	3.742445724389333	-1.79	10371	0.7984	0.0001	17.559155642456478
850000	-2.93	4.336484751500921	-2.93	10492	0.796	0.0001	17.786770734786987
860000	-2.53	4.0359757184601595	-2.53	10610	0.7936	0.0001	18.01450948357582
870000	-1.98	3.484192876406241	-1.98	10733	0.7912	0.0001	18.240751407014
880000	-3.13	3.8383720507527674	-3.13	10857	0.7888	0.0001	18.466363812486332
890000	-2.53	4.070515937814272	-2.53	10981	0.7864	0.0001	18.691084208289784
900000	-2.35	3.8765319552404054	-2.35	11115	0.784	0.0001	18.916635486814712
910000	-2.12	4.0281012896897215	-2.12	11240	0.7816	0.0001	19.14298196878698
920000	-2.9	3.8691084244306206	-2.9	11363	0.7792	0.0001	19.369557655453683
930000	-1.55	3.9099232729044697	-1.55	11490	0.7767999999999999	0.0001	19.595953683190874
940000	-2.08	3.375440711966365	-2.08	11621	0.7744	0.0001	19.823649772074486
950000	-2.24	3.9015894197108953	-2.24	11751	0.772	0.0001	20.051529961956874
960000	-2.4	3.765634076752546	-2.4	11873	0.7696	0.0001	20.279645449121794
970000	-2.55	4.613837881850639	-2.55	11992	0.7672	0.0001	20.507647140820822
980000	-2.38	4.103120763516473	-2.38	12119	0.7648	0.0001	20.735725643171204
990000	-2.47	3.9760658948261907	-2.47	12240	0.7624	0.0001	20.963612694409157
1000000	-2.47	4.2342767977542515	-2.47	12368	0.76	0.0001	21.191287022630373
1010000	-1.97	4.264868110504708	-1.97	12492	0.7576	0.0001	21.419552694095504
1020000	-2.19	3.8540757646937873	-2.19	12616	0.7552	0.0001	21.64831463601854
1030000	-2.4	3.7067505985701277	-2.4	12747	0.7528	0.0001	21.877545300390985
1040000	-2.85	4.087480886805467	-2.85	12869	0.7504	0.0001	22.106582931809957
1050000	-2.15	3.8739514710434872	-2.15	12991	0.748	0.0001	22.33489081091351
1060000	-2.32	4.3217589011882644	-2.32	13114	0.7456	0.0001	22.56401200109058
1070000	-1.52	3.4510288321021028	-1.52	13246	0.7432	0.0001	22.793272690243192
1080000	-2.69	4.406120742784973	-2.69	13377	0.7408	0.0001	23.022374826007418
1090000	-2.7	4.533210782657255	-2.7	13495	0.7384	0.0001	23.251542553106944
1100000	-2.28	3.513061343045407	-2.28	13624	0.736	0.0001	23.481421778599422
1110000	-2.62	4.799541644782343	-2.62	13739	0.7336	0.0001	23.70939898431301
1120000	-2.21	3.513673291585317	-2.21	13857	0.7312	0.0001	23.939023369815615
1130000	-1.63	3.543035421781724	-1.63	13988	0.7288	0.0001	24.170744926664565
1140000	-1.96	3.6930204440268124	-1.96	14108	0.7263999999999999	0.0001	24.401625838147268
1150000	-2.6	3.738983819167984	-2.6	14239	0.724	0.0001	24.63205967406432
1160000	-2.66	3.677553534620536	-2.66	14359	0.7216	0.0001	24.862417270210056
1170000	-2.06	3.506622306436779	-2.06	14493	0.7192000000000001	0.0001	25.09296042356226
1180000	-1.88	3.479310276477222	-1.88	14616	0.7168	0.0001	25.322854925725196
1190000	-1.59	3.6085869810772198	-1.59	14742	0.7143999999999999	0.0001	25.553823783066537
1200000	-2.5	3.850973902793941	-2.5	14867	0.712	0.0001	25.782954385810427
1210000	-2.3	3.824918299781055	-2.3	14991	0.7096	0.0001	26.01197981701957
1220000	-1.37	3.022101917540174	-1.37	15123	0.7072	0.0001	26.241254335840544
1230000	-2.11	3.566216482492335	-2.11	15259	0.7048	0.0001	26.470770556065773
1240000	-2.17	4.091588933409612	-2.17	15390	0.7023999999999999	0.0001	26.701458540360132
1250000	-2.76	4.020248748522907	-2.76	15517	0.7	0.0001	26.93225314166811
1260000	-1.82	3.2229799875270713	-1.82	15643	0.6976	0.0001	27.16349624488089
1270000	-2.0	3.682390527904394	-2.0	15772	0.6952	0.0001	27.39586434721947
1280000	-1.75	4.126439142893059	-1.75	15896	0.6928000000000001	0.0001	27.627248529526923
1290000	-1.84	3.5234074416677954	-1.84	16025	0.6904	0.0001	27.858144877486758
1300000	-2.67	4.324476846972359	-2.67	16142	0.688	0.0001	28.08771890229649
1310000	-1.75	3.293554311074891	-1.75	16265	0.6856	0.0001	28.317322509884836
1320000	-1.72	4.130568968072074	-1.72	16390	0.6832	0.0001	28.547466690805223
1330000	-2.53	3.6890513685770228	-2.53	16512	0.6808	0.0001	28.777290185888607
1340000	-1.86	3.51857925873498	-1.86	16641	0.6784	0.0001	29.007022384007772
1350000	-1.17	3.3646842348131276	-1.17	16767	0.6759999999999999	0.0001	29.238490411771668
1360000	-1.8	4.365775990588615	-1.8	16887	0.6736	0.0001	29.47056296494272
1370000	-1.75	3.3417809623013897	-1.75	17018	0.6712	0.0001	29.703348172836833
1380000	-1.92	3.9183670068027063	-1.92	17145	0.6688000000000001	0.0001	29.935929807225865
1390000	-1.84	4.522654088032822	-1.84	17273	0.6664	0.0001	30.168334446880554
1400000	-1.79	3.542019198141083	-1.79	17398	0.6639999999999999	0.0001	30.400842115481694
1410000	-1.68	4.159038350388224	-1.68	17525	0.6616	0.0001	30.634020500183105
1420000	-2.16	4.021740916568346	-2.16	17646	0.6592	0.0001	30.867190417249997
1430000	-1.32	3.727948497498322	-1.32	17771	0.6568	0.0001	31.103231177396246
1440000	-1.39	3.376077605743091	-1.39	17902	0.6544	0.0001	31.335841131210326
1450000	-1.5	3.5735136770411273	-1.5	18025	0.652	0.0001	31.568953435487217
1460000	-2.58	3.9323784151579306	-2.58	18151	0.6496	0.0001	31.801655509538122
1470000	-1.7	3.6180105030251086	-1.7	18277	0.6472	0.0001	32.03450639863809
1480000	-2.12	4.308781730373448	-2.12	18391	0.6448	0.0001	32.2675546829568
1490000	-1.29	3.614678408932114	-1.29	18516	0.6424000000000001	0.0001	32.501289800604184
