Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	2.0	4.0	-inf	20	0.991	0.0001	0.004466256101926168
20000	2.0588235294117645	4.043449142608094	-inf	34	0.982	0.0001	0.009829071760177612
30000	1.9607843137254901	3.970285633591488	-inf	51	0.973	0.0001	0.010792541371451483
40000	2.5714285714285716	4.370588154508101	-inf	70	0.964	0.0001	0.014126506646474203
50000	2.528735632183908	4.346590896825067	-inf	87	0.955	0.0001	0.015129235651757982
60000	2.5	4.330127018922194	2.5	101	0.946	0.0001	0.03759519404835171
70000	2.6	4.386342439892261	2.6	117	0.9369999999999999	0.0001	0.060110509859191044
80000	3.1	4.624932431938872	3.1	135	0.9279999999999999	0.0001	0.08776041726271311
90000	2.7	4.439594576084622	2.7	155	0.919	0.0001	0.11049189435111152
100000	2.7	4.439594576084623	2.7	177	0.91	0.0001	0.13311341345310213
