Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	2.857142857142857	4.5175395145262565	-inf	14	0.991	0.0001	0.013350040515263875
20000	2.857142857142857	4.5175395145262565	-inf	28	0.982	0.0001	0.015435937643051147
30000	2.5	4.330127018922194	-inf	40	0.973	0.0001	0.016442077888382804
40000	2.7450980392156863	4.462669284996487	-inf	51	0.964	0.0001	0.01742652244038052
50000	2.6153846153846154	4.3947251867956005	-inf	65	0.955	0.0001	0.019545778830846152
60000	2.625	4.399928976699511	-inf	80	0.946	0.0001	0.04251555879910787
70000	2.6041666666666665	4.3886196735293534	-inf	96	0.9369999999999999	0.0001	0.06499315533373091
80000	2.5	4.330127018922194	2.5	112	0.9279999999999999	0.0001	0.0875379494825999
90000	2.8	4.48998886412873	2.8	127	0.919	0.0001	0.11189680212073856
100000	3.0	4.58257569495584	3.0	144	0.91	0.0001	0.134447121752633
