Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	3.75	4.841229182759271	-inf	16	0.991	0.0001	0.010938930643929376
20000	3.5294117647058822	4.778846120374094	-inf	34	0.982	0.0001	0.012674584852324592
30000	3.4	4.737087712930804	-inf	50	0.973	0.0001	0.013657406568527222
40000	3.1746031746031744	4.654881999560375	-inf	63	0.964	0.0001	0.014659113817744785
50000	3.1645569620253164	4.650929891360465	-inf	79	0.955	0.0001	0.016984169218275284
60000	3.0851063829787235	4.618785818317533	-inf	94	0.946	0.0001	0.03958788209491306
70000	3.0	4.58257569495584	3.0	111	0.9369999999999999	0.0001	0.0622492425971561
80000	2.8	4.489988864128729	2.8	127	0.9279999999999999	0.0001	0.08970332437091404
90000	2.2	4.142463035441596	2.2	141	0.919	0.0001	0.1123926591210895
100000	2.4	4.270831300812524	2.4	157	0.91	0.0001	0.13509046521451737
110000	2.7	4.439594576084622	2.7	173	0.901	0.0001	0.15786992337968614
120000	2.3	4.208325082500163	2.3	187	0.892	0.0001	0.18063976440164778
130000	2.5	4.330127018922194	2.5	200	0.883	0.0001	0.2034082426627477
140000	2.6	4.386342439892261	2.6	221	0.874	0.0001	0.22775696078936258
150000	3.3	4.702127178203498	3.3	238	0.865	0.0001	0.2506299971871906
160000	3.5	4.769696007084728	3.5	260	0.856	0.0001	0.2734828144311905
170000	3.6	4.800000000000001	3.6	281	0.847	0.0001	0.2963737001021703
180000	3.8	4.8538644398046396	3.8	299	0.838	0.0001	0.3192967677778668
190000	3.9	4.877499359302879	3.9	324	0.829	0.0001	0.3422438989082972
200000	4.0	4.898979485566356	4.0	351	0.82	0.0001	0.36604598356617823
210000	4.0	4.898979485566356	4.0	372	0.8109999999999999	0.0001	0.38897111190689937
220000	3.7	4.828043081829324	3.7	412	0.802	0.0001	0.41196985787815515
230000	4.0	4.898979485566356	4.0	445	0.7929999999999999	0.0001	0.43494525730609895
240000	4.8	4.995998398718719	4.8	488	0.784	0.0001	0.4579750827285978
250000	5.6	4.963869458396343	5.6	530	0.775	0.0001	0.4816537319951587
260000	6.4	4.800000000000001	6.4	570	0.766	0.0001	0.504750852253702
270000	5.8	4.935585071701226	5.8	604	0.757	0.0001	0.5278733832968606
280000	5.0	5.0	5.0	641	0.748	0.0001	0.5510345280170441
290000	5.1	4.998999899979996	5.1	677	0.739	0.0001	0.5741911400026746
300000	5.1	4.998999899979996	5.1	708	0.73	0.0001	0.5974646808041466
310000	5.8	4.935585071701226	5.8	751	0.721	0.0001	0.6247706792089674
320000	4.6	4.983974317750844	4.6	794	0.712	0.0001	0.6481065393156475
330000	4.0	4.898979485566356	4.0	825	0.703	0.0001	0.6714785118235482
340000	4.2	4.935585071701226	4.2	864	0.694	0.0001	0.6948521415392558
350000	4.3	4.950757517794624	4.3	903	0.685	0.0001	0.7181596792406506
360000	3.5	4.769696007084728	3.5	946	0.6759999999999999	0.0001	0.7415663629108005
370000	3.9	4.877499359302879	3.9	992	0.667	0.0001	0.765220412214597
380000	5.6	4.963869458396343	5.6	1046	0.6579999999999999	0.0001	0.7896250328090456
390000	5.2	4.995998398718719	5.2	1107	0.649	0.0001	0.8132902785142263
400000	4.4	4.963869458396343	4.4	1151	0.6399999999999999	0.0001	0.837012194858657
410000	4.2	4.935585071701226	4.2	1194	0.631	0.0001	0.8607212115658655
420000	4.9	4.998999899979996	4.9	1239	0.622	0.0001	0.8844328206115298
430000	4.7	4.990991885387113	4.7	1266	0.613	0.0001	0.9082213797171911
440000	5.0	5.0	5.0	1304	0.604	0.0001	0.9319647561841541
450000	4.6	4.983974317750844	4.6	1325	0.595	0.0001	0.9557136012448205
460000	4.7	4.990991885387113	4.7	1355	0.586	0.0001	0.9794915101263258
470000	4.7	4.990991885387113	4.7	1383	0.577	0.0001	1.0033251443836424
480000	4.1	4.9183330509431755	4.1	1408	0.5680000000000001	0.0001	1.0272107467386458
490000	4.6	4.983974317750844	4.6	1439	0.5589999999999999	0.0001	1.051052002509435
500000	4.2	4.935585071701226	4.2	1470	0.55	0.0001	1.074954678548707
