Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	0.7142857142857143	2.575393768188564	-inf	14	0.991	0.0001	0.006668193538983663
20000	2.1875	4.133986423538423	-inf	32	0.982	0.0001	0.00925088107585907
30000	2.127659574468085	4.092634906738584	-inf	47	0.973	0.0001	0.010207887358135647
40000	2.0	4.0	-inf	60	0.964	0.0001	0.011171739233864678
50000	2.3684210526315788	4.251445900369346	-inf	76	0.955	0.0001	0.016771961450576783
60000	2.272727272727273	4.190702026042222	-inf	88	0.946	0.0001	0.03884979142083062
70000	2.4	4.270831300812524	2.4	103	0.9369999999999999	0.0001	0.06100156075424618
80000	2.9	4.537620521815371	2.9	120	0.9279999999999999	0.0001	0.08318445748753017
90000	2.7	4.439594576084623	2.7	136	0.919	0.0001	0.10858837266763051
100000	2.7	4.439594576084622	2.7	152	0.91	0.0001	0.1311671245760388
110000	3.0	4.58257569495584	3.0	168	0.901	0.0001	0.15375764615005916
120000	3.0	4.58257569495584	3.0	183	0.892	0.0001	0.1763808035188251
130000	2.8	4.48998886412873	2.8	196	0.883	0.0001	0.19902004884348976
140000	2.7	4.439594576084623	2.7	213	0.874	0.0001	0.22177698618835873
150000	2.9	4.537620521815371	2.9	233	0.865	0.0001	0.24722120768494077
160000	3.1	4.624932431938872	3.1	246	0.856	0.0001	0.2700324030717214
170000	3.1	4.624932431938872	3.1	264	0.847	0.0001	0.2928786697652605
180000	3.7	4.828043081829324	3.7	284	0.838	0.0001	0.3155938802162806
190000	4.2	4.935585071701226	4.2	308	0.829	0.0001	0.3383536196417279
200000	4.1	4.9183330509431755	4.1	329	0.82	0.0001	0.3612044350968467
210000	3.8	4.8538644398046396	3.8	349	0.8109999999999999	0.0001	0.3845108950800366
220000	3.2	4.66476151587624	3.2	374	0.802	0.0001	0.407412071691619
230000	3.3	4.702127178203498	3.3	402	0.7929999999999999	0.0001	0.43033834291829004
240000	3.8	4.8538644398046396	3.8	439	0.784	0.0001	0.45328943385018244
250000	4.7	4.990991885387113	4.7	477	0.775	0.0001	0.4762572054730521
260000	4.2	4.935585071701226	4.2	517	0.766	0.0001	0.5041672438383102
270000	4.1	4.9183330509431755	4.1	549	0.757	0.0001	0.527249727845192
280000	4.6	4.983974317750844	4.6	598	0.748	0.0001	0.5503989393181271
290000	5.1	4.998999899979996	5.1	635	0.739	0.0001	0.5735005586677128
300000	5.3	4.990991885387113	5.3	664	0.73	0.0001	0.5966129610935847
310000	5.2	4.995998398718719	5.2	698	0.721	0.0001	0.6197487610578537
320000	5.4	4.983974317750844	5.4	727	0.712	0.0001	0.6429524436261919
330000	5.1	4.998999899979996	5.1	759	0.703	0.0001	0.6674363319079081
340000	4.5	4.9749371855331	4.5	793	0.694	0.0001	0.6906920702589883
350000	4.2	4.935585071701226	4.2	831	0.685	0.0001	0.7139590946171018
360000	4.2	4.935585071701226	4.2	862	0.6759999999999999	0.0001	0.7372907612721126
370000	4.2	4.935585071701226	4.2	903	0.667	0.0001	0.7606966245836682
380000	4.6	4.983974317750844	4.6	935	0.6579999999999999	0.0001	0.7841996151871151
390000	5.0	5.0	5.0	981	0.649	0.0001	0.8077028120888604
400000	4.8	4.995998398718719	4.8	1016	0.6399999999999999	0.0001	0.8328840860393312
410000	5.0	5.0	5.0	1050	0.631	0.0001	0.856413341694408
420000	4.6	4.983974317750844	4.6	1096	0.622	0.0001	0.8798978445927302
430000	4.9	4.998999899979996	4.9	1139	0.613	0.0001	0.9034756641255485
440000	5.2	4.995998398718719	5.2	1184	0.604	0.0001	0.9270643207761976
450000	4.9	4.998999899979996	4.9	1212	0.595	0.0001	0.9506398819552527
460000	4.4	4.963869458396343	4.4	1247	0.586	0.0001	0.9742554247379303
470000	4.1	4.9183330509431755	4.1	1277	0.577	0.0001	0.9979376871718301
480000	4.5	4.9749371855331	4.5	1306	0.5680000000000001	0.0001	1.0217615920305252
490000	4.6	4.983974317750844	4.6	1346	0.5589999999999999	0.0001	1.045660417013698
500000	5.1	4.998999899979996	5.1	1382	0.55	0.0001	1.0695539860592949
510000	5.1	4.998999899979996	5.1	1411	0.5409999999999999	0.0001	1.093470356464386
520000	4.6	4.983974317750844	4.6	1447	0.532	0.0001	1.117358260287179
530000	3.9	4.877499359302879	3.9	1464	0.5229999999999999	0.0001	1.1411927389436298
540000	3.2	4.66476151587624	3.2	1506	0.514	0.0001	1.1651390113433202
550000	3.2	4.66476151587624	3.2	1533	0.5049999999999999	0.0001	1.1890590674347348
560000	3.3	4.702127178203498	3.3	1551	0.4959999999999999	0.0001	1.2129817085795933
570000	3.6	4.800000000000001	3.6	1579	0.487	0.0001	1.2370071751541563
580000	3.4	4.737087712930804	3.4	1605	0.478	0.0001	1.2609945927063624
590000	3.3	4.702127178203498	3.3	1634	0.469	0.0001	1.285050270822313
600000	3.2	4.66476151587624	3.2	1667	0.45999999999999996	0.0001	1.3090938036309347
610000	3.3	4.702127178203498	3.3	1688	0.45099999999999996	0.0001	1.3331847590870327
620000	3.3	4.702127178203498	3.3	1711	0.44199999999999995	0.0001	1.3573201528522703
630000	3.3	4.702127178203498	3.3	1731	0.43299999999999994	0.0001	1.3815258983108731
640000	3.8	4.8538644398046396	3.8	1760	0.42399999999999993	0.0001	1.4057492211792204
650000	3.9	4.877499359302879	3.9	1783	0.4149999999999999	0.0001	1.429982797768381
660000	3.7	4.828043081829324	3.7	1801	0.4059999999999999	0.0001	1.4542690549956427
670000	3.5	4.769696007084728	3.5	1818	0.3969999999999999	0.0001	1.4785638542307749
680000	3.2	4.66476151587624	3.2	1831	0.3879999999999999	0.0001	1.5028889243470298
690000	2.7	4.439594576084622	2.7	1848	0.379	0.0001	1.5272390509976281
700000	2.1	4.07308237088326	2.1	1863	0.37	0.0001	1.5515773491064708
710000	1.4	3.4698703145794942	1.4	1876	0.361	0.0001	1.575960946281751
720000	1.8	3.8418745424597094	1.8	1891	0.352	0.0001	1.6003530818223952
