Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	3.125	4.635124054434789	-inf	16	0.991	0.0001	0.008186424440807766
20000	2.8125	4.4960920531056745	-inf	32	0.982	0.0001	0.013267254034678141
30000	2.2222222222222223	4.15739709641549	-inf	45	0.973	0.0001	0.014275959663920932
40000	2.5	4.330127018922194	-inf	60	0.964	0.0001	0.015315536856651307
50000	2.4324324324324325	4.2904075314560925	-inf	74	0.955	0.0001	0.02102779381804996
60000	2.3333333333333335	4.2295258468165065	-inf	90	0.946	0.0001	0.043450492752922905
70000	2.3	4.208325082500162	2.3	104	0.9369999999999999	0.0001	0.06616827666759491
80000	2.1	4.07308237088326	2.1	118	0.9279999999999999	0.0001	0.08873575932449765
90000	2.0	4.0	2.0	134	0.919	0.0001	0.11617059038745033
100000	2.1	4.07308237088326	2.1	147	0.91	0.0001	0.13875246584415435
