Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	-2.8	3.878143885933063	-2.8	122	0.99952	0.0001	0.001693002978960673
20000	-2.37	3.791187149165812	-2.37	247	0.99904	0.0001	0.002923003766271803
30000	-3.02	4.5628499865763725	-3.02	363	0.99856	0.0001	0.003956432077619765
40000	-2.29	3.842642320070917	-2.29	481	0.99808	0.0001	0.004839286936653985
50000	-2.68	4.183013267968438	-2.68	596	0.9976	0.0001	0.00604680683877733
60000	-1.95	4.085033659592048	-1.95	720	0.99712	0.0001	0.04034882114993201
70000	-3.0	4.310452412450461	-3.0	844	0.99664	0.0001	0.07429799291822646
80000	-2.3	3.7616485747608057	-2.3	977	0.99616	0.0001	0.10957437886132135
90000	-2.39	3.6356429967751236	-2.39	1102	0.99568	0.0001	0.14443997707631853
100000	-2.15	3.7239092362730863	-2.15	1224	0.9952	0.0001	0.17688457780414157
110000	-2.8	4.197618372363071	-2.8	1347	0.99472	0.0001	0.21020554761091867
120000	-2.0	3.3823069050575527	-2.0	1462	0.99424	0.0001	0.24453204340404935
130000	-2.64	3.6892275614280012	-2.64	1591	0.99376	0.0001	0.27700153244866266
140000	-2.33	3.9193239212905073	-2.33	1713	0.99328	0.0001	0.3114210293690364
150000	-2.14	3.385321255065758	-2.14	1846	0.9928	0.0001	0.3442944039238824
160000	-2.08	3.6597267657572465	-2.08	1968	0.99232	0.0001	0.37716566933525936
170000	-2.47	4.222451894338169	-2.47	2088	0.99184	0.0001	0.4100280460384157
180000	-2.53	3.8195680384043436	-2.53	2210	0.99136	0.0001	0.4419061066706975
190000	-1.96	3.152522799283139	-1.96	2330	0.99088	0.0001	0.47532792104615107
200000	-2.56	4.596346375111432	-2.56	2457	0.9904	0.0001	0.5087842171059714
210000	-2.46	3.637086746284724	-2.46	2576	0.98992	0.0001	0.5391514644357893
220000	-1.44	3.4038801389003104	-1.44	2704	0.98944	0.0001	0.5714321631855435
230000	-2.26	3.8016312288279623	-2.26	2827	0.98896	0.0001	0.6055426428715388
240000	-2.82	3.998449699571072	-2.82	2943	0.98848	0.0001	0.6384087705612183
250000	-2.43	4.013115996330034	-2.43	3061	0.988	0.0001	0.6712764112154642
260000	-2.32	3.596887543418615	-2.32	3194	0.98752	0.0001	0.703454291092025
270000	-2.04	4.022238182902648	-2.04	3313	0.98704	0.0001	0.7337393032842212
280000	-3.0	4.054626986542659	-3.0	3421	0.98656	0.0001	0.7643657618098789
290000	-2.83	4.597945193235779	-2.83	3533	0.98608	0.0001	0.7965826149119272
300000	-2.15	3.6314597615834874	-2.15	3653	0.9856	0.0001	0.8284088455968432
310000	-2.58	3.8083592267536948	-2.58	3776	0.98512	0.0001	0.861686167187161
320000	-2.55	3.9201403036115936	-2.55	3895	0.98464	0.0001	0.8950572113196055
330000	-2.23	4.0739538534450785	-2.23	4013	0.98416	0.0001	0.9264123844438129
