Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Avg_IntrReward_Last_100_Episodes	Elapsed_Time_Hours
10000	-2.5	3.4713109915419564	-2.5	119	0.9976	0.0001	nan	0.0022702560159895157
20000	-2.06	3.781058052979351	-2.06	243	0.9952	0.0001	nan	0.003630914158291287
30000	-2.63	4.41056685699242	-2.63	367	0.9928	0.0001	nan	0.004847709801461961
40000	-2.79	4.334270411499495	-2.79	490	0.9904	0.0001	nan	0.005847187770737542
50000	-2.73	3.9239138624592664	-2.73	618	0.988	0.0001	nan	0.007057652142312792
60000	-2.7	4.05585995813465	-2.7	734	0.9856	0.0001	0.007852633	0.04166237877474891
70000	-2.3	4.355456348076514	-2.3	857	0.9832	0.0001	0.32895333	0.07608812007639143
80000	-3.07	3.702039978174196	-3.07	976	0.9808	0.0001	0.76837194	0.11048361844486661
90000	-2.74	4.031426546521715	-2.74	1100	0.9784	0.0001	0.10443803	0.1440408283472061
100000	-2.73	3.7144447768138913	-2.73	1220	0.976	0.0001	0.24398606	0.17719196928872002
110000	-2.67	4.377339374551624	-2.67	1349	0.9736	0.0001	1.8772421	0.21043125788370767
120000	-2.44	3.3475961524652282	-2.44	1480	0.9712	0.0001	1.2431835	0.24376515136824714
130000	-2.09	3.47014408922742	-2.09	1604	0.9688	0.0001	1.1428194	0.2771931572755178
140000	-2.02	3.5269817124561333	-2.02	1730	0.9664	0.0001	0.9689835	0.31115172783533734
150000	-1.72	3.3795857734343713	-1.72	1860	0.964	0.0001	0.9089299	0.3445972850587633
160000	-1.69	3.4196344833914636	-1.69	1983	0.9616	0.0001	0.85353243	0.37799278835455574
170000	-3.39	4.7809936205772114	-3.39	2104	0.9592	0.0001	0.7484398	0.41180761979685887
180000	-2.96	4.071658138891329	-2.96	2230	0.9568	0.0001	0.6952575	0.4452210634284549
190000	-3.45	4.5615238681826495	-3.45	2352	0.9544	0.0001	0.54415846	0.47857439756393433
200000	-2.86	3.7229558149405966	-2.86	2468	0.952	0.0001	0.50152344	0.5118200544516246
210000	-1.7	3.98622628559895	-1.7	2597	0.9496	0.0001	0.4294288	0.5451017112864388
220000	-2.0	3.6249137920783716	-2.0	2724	0.9472	0.0001	0.40643138	0.5786149903138479
230000	-2.27	3.9594317774145322	-2.27	2845	0.9448	0.0001	0.4367924	0.6121727814939287
240000	-3.36	4.796915675723308	-3.36	2963	0.9424	0.0001	0.47083214	0.6457723472515742
250000	-3.2	4.352011029397789	-3.2	3091	0.94	0.0001	0.49899295	0.680288605954912
260000	-2.7	3.988734135035826	-2.7	3216	0.9376	0.0001	0.39968336	0.7143717938661576
270000	-3.03	4.5176431908684425	-3.03	3336	0.9352	0.0001	0.42862636	0.7484306642744276
280000	-2.83	4.137765097247547	-2.83	3457	0.9328	0.0001	5.7589545	0.7825649303860135
290000	-2.41	3.728525177600387	-2.41	3588	0.9304	0.0001	0.38393593	0.8166551785998875
300000	-1.92	4.088226999568395	-1.92	3714	0.9279999999999999	0.0001	0.21309716	0.8509498286909527
310000	-2.65	4.1337029404639125	-2.65	3833	0.9256	0.0001	0.31038618	0.8847236759795083
320000	-2.7	3.9281038682804708	-2.7	3952	0.9232	0.0001	0.35445225	0.9182257477442424
330000	-2.35	3.943031828428475	-2.35	4077	0.9208000000000001	0.0001	0.3596318	0.9521610825591618
340000	-2.03	3.9558943363037393	-2.03	4203	0.9184	0.0001	0.34571415	0.9858603235085805
350000	-2.58	3.92728914137984	-2.58	4329	0.916	0.0001	0.28256947	1.0195689105987549
360000	-2.54	3.8481683954837527	-2.54	4449	0.9136	0.0001	0.40331858	1.0534100396765602
370000	-2.56	3.774440355867343	-2.56	4571	0.9112	0.0001	0.3727533	1.0867418003082276
380000	-2.85	4.075230054855799	-2.85	4693	0.9088	0.0001	0.40446538	1.1201176875829697
390000	-1.5	3.9230090491866063	-1.5	4814	0.9064	0.0001	0.45583096	1.1542735399140251
400000	-2.93	3.9019354172000336	-2.93	4943	0.904	0.0001	5.564806	1.1879829499456618
410000	-2.01	4.172517225848205	-2.01	5070	0.9016	0.0001	0.2965996	1.222100963724984
420000	-2.11	3.343336656694925	-2.11	5193	0.8992	0.0001	0.21987253	1.2563577889733843
430000	-1.79	3.2689294883799502	-1.79	5321	0.8968	0.0001	0.2520309	1.2904744941658444
440000	-2.3	4.22729227756965	-2.3	5444	0.8944	0.0001	0.35623464	1.3243675975667106
450000	-2.21	3.3084588557211956	-2.21	5574	0.892	0.0001	0.3619469	1.3584146489037408
460000	-2.12	3.456240732356472	-2.12	5703	0.8896	0.0001	0.31057197	1.3925730126433902
470000	-2.52	3.9050736228655154	-2.52	5828	0.8872	0.0001	0.36881396	1.426497433980306
480000	-2.34	3.3740776517442512	-2.34	5953	0.8848	0.0001	0.3610804	1.4608888840013081
490000	-3.24	4.697062912076014	-3.24	6069	0.8824	0.0001	0.31821325	1.495427196290758
500000	-2.05	3.272231654391235	-2.05	6198	0.88	0.0001	0.4009202	1.5297161694367727
510000	-2.76	4.641379105395292	-2.76	6328	0.8775999999999999	0.0001	0.24461761	1.5640515796343486
520000	-2.9	4.341658669218482	-2.9	6452	0.8752	0.0001	0.44276834	1.5980992484092713
530000	-2.7	4.160528812542944	-2.7	6579	0.8728	0.0001	0.49607477	1.632296666900317
540000	-3.11	3.762698499747223	-3.11	6695	0.8704000000000001	0.0001	0.2568619	1.6665178926123514
550000	-1.95	3.7212229172679248	-1.95	6822	0.868	0.0001	0.20502119	1.7009250921673245
560000	-3.25	3.8584323241440948	-3.25	6946	0.8655999999999999	0.0001	0.28391019	1.7352260953187943
570000	-2.39	3.652108979754027	-2.39	7069	0.8632	0.0001	0.5332922	1.7698358889420827
