Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Avg_IntrReward_Last_100_Episodes	Elapsed_Time_Hours
10000	-3.01	3.9229963038473543	-3.01	120	0.991	0.0001	nan	0.0031037264400058323
20000	-2.35	3.9354161152284775	-2.35	248	0.982	0.0001	nan	0.004583038091659546
30000	-2.43	3.8295038843171323	-2.43	370	0.973	0.0001	nan	0.005873326129383511
40000	-2.52	4.158076478373143	-2.52	491	0.964	0.0001	nan	0.006668646799193489
50000	-2.31	3.7461847258243957	-2.31	620	0.955	0.0001	nan	0.008119351665178935
60000	-1.56	3.275118318473395	-1.56	753	0.946	0.0001	0.031462938	0.029229369759559632
70000	-1.92	4.11504556475381	-1.92	868	0.9369999999999999	0.0001	0.51747125	0.04986910310056474
80000	-2.13	3.6294765462804692	-2.13	994	0.9279999999999999	0.0001	0.5179907	0.07064458542399936
90000	-1.2	2.7748873851023217	-1.2	1126	0.919	0.0001	1.8321239	0.09178545984956954
100000	-2.32	3.6630042315017874	-2.32	1250	0.91	0.0001	1.1449285	0.1125408637523651
110000	-2.08	3.5851917661402712	-2.08	1374	0.901	0.0001	0.9933889	0.133360090719329
120000	-1.89	3.5267407049569153	-1.89	1506	0.892	0.0001	0.9885669	0.1542164675394694
130000	-2.33	4.125663582988802	-2.33	1629	0.883	0.0001	0.92468	0.17500767244233026
140000	-2.51	4.387470797623615	-2.51	1754	0.874	0.0001	0.875691	0.19586532645755345
150000	-2.15	4.102133591193734	-2.15	1880	0.865	0.0001	0.7707913	0.21663743886682724
160000	-2.39	4.298592792996331	-2.39	1996	0.856	0.0001	0.78589624	0.23759946962197623
170000	-2.29	3.787598183545874	-2.29	2122	0.847	0.0001	0.6778171	0.2588578909635544
180000	-2.04	4.187887295522648	-2.04	2241	0.838	0.0001	0.7946001	0.2798638063669205
190000	-2.55	3.6287050031657295	-2.55	2361	0.829	0.0001	0.7122929	0.30070419761869643
200000	-2.59	3.990225557534311	-2.59	2491	0.82	0.0001	0.5571479	0.32163232068220776
210000	-2.44	3.787664187860376	-2.44	2620	0.8109999999999999	0.0001	0.57594717	0.3426816134320365
220000	-2.07	3.555994938129131	-2.07	2745	0.802	0.0001	0.53248495	0.3637017374568515
230000	-2.33	3.90654578880115	-2.33	2868	0.7929999999999999	0.0001	0.48882762	0.38468521124786803
240000	-2.58	3.3709939187129963	-2.58	2999	0.784	0.0001	0.51550996	0.4056004750066333
250000	-2.81	4.039046917281352	-2.81	3126	0.775	0.0001	0.5523538	0.42700017829736076
260000	-2.41	3.9776752004154385	-2.41	3254	0.766	0.0001	0.5188639	0.4481589800781674
270000	-2.28	4.047418930627271	-2.28	3379	0.757	0.0001	0.42584637	0.46912056929535334
280000	-1.76	4.091747792814215	-1.76	3503	0.748	0.0001	0.43632457	0.4901273020770815
290000	-1.93	3.482111428429596	-1.93	3631	0.739	0.0001	0.47940555	0.5112342741092046
300000	-2.13	3.77267809387443	-2.13	3760	0.73	0.0001	0.5117432	0.5324699083301756
310000	-2.49	3.598596948812134	-2.49	3889	0.721	0.0001	0.4709368	0.5536754998895858
320000	-2.93	4.450292125243016	-2.93	4010	0.712	0.0001	0.500024	0.5751662778854371
330000	-2.25	3.320767983464066	-2.25	4138	0.703	0.0001	0.49937686	0.5963156744506624
340000	-2.71	4.541574616804176	-2.71	4264	0.694	0.0001	0.40174344	0.6176126968860626
350000	-2.45	3.559143155311402	-2.45	4392	0.685	0.0001	0.4708016	0.6388159406847423
360000	-2.35	4.038254573451258	-2.35	4522	0.6759999999999999	0.0001	0.365724	0.6600259601407581
370000	-2.62	4.107992210313939	-2.62	4650	0.667	0.0001	0.45366862	0.6812529425488578
380000	-2.07	3.8085561568657487	-2.07	4776	0.6579999999999999	0.0001	0.35790253	0.7027154133054945
390000	-2.45	3.6452023263462348	-2.45	4901	0.649	0.0001	0.47534698	0.724079437719451
400000	-1.74	3.684073832050601	-1.74	5034	0.6399999999999999	0.0001	0.31461623	0.7460161462757322
410000	-2.38	3.6545314337134935	-2.38	5157	0.631	0.0001	0.3002161	0.7673660496870677
420000	-2.18	4.0382669550191945	-2.18	5274	0.622	0.0001	0.35808548	0.7889624673128128
430000	-2.49	3.9559954499468275	-2.49	5397	0.613	0.0001	0.4309336	0.810505179365476
440000	-1.41	3.0662517835298524	-1.41	5521	0.604	0.0001	0.33473587	0.8320392569568422
450000	-2.2	3.813135192987524	-2.2	5644	0.595	0.0001	0.37124524	0.8535208803415298
460000	-1.79	3.1505396363162927	-1.79	5769	0.586	0.0001	0.40264848	0.8750724415646659
470000	-2.85	3.9404948927767944	-2.85	5892	0.577	0.0001	0.39993384	0.8965632389651405
480000	-2.02	3.391106014267322	-2.02	6013	0.5680000000000001	0.0001	0.3356979	0.9183282309770584
490000	-1.98	3.449579684541292	-1.98	6144	0.5589999999999999	0.0001	1.579842	0.9398059630393982
500000	-2.29	3.8634052337284013	-2.29	6271	0.55	0.0001	0.39736587	0.9614401970969306
510000	-2.8	3.908964057138413	-2.8	6385	0.5409999999999999	0.0001	0.29261327	0.9830146810081271
520000	-2.21	4.052887859292433	-2.21	6512	0.532	0.0001	0.25098774	1.0046284254391988
530000	-2.71	3.586906745372676	-2.71	6639	0.5229999999999999	0.0001	0.5410548	1.026166426870558
540000	-2.34	3.845048764320161	-2.34	6764	0.514	0.0001	0.3687744	1.0478942532671822
550000	-2.08	3.565613551690648	-2.08	6892	0.5049999999999999	0.0001	0.38204297	1.0696573451492521
560000	-2.41	3.6251758578033146	-2.41	7016	0.4959999999999999	0.0001	0.45837292	1.0917118530140983
570000	-2.0	3.3645207682521443	-2.0	7143	0.487	0.0001	0.29524687	1.1131652349895902
580000	-1.89	4.147035085455632	-1.89	7264	0.478	0.0001	0.37261578	1.1347190552287632
590000	-2.18	3.8193716760744825	-2.18	7388	0.469	0.0001	0.4127332	1.1560840356349944
600000	-1.28	2.860349628978947	-1.28	7515	0.45999999999999996	0.0001	0.34578687	1.1775557123290168
610000	-1.78	3.2698012171996025	-1.78	7647	0.45099999999999996	0.0001	0.37562537	1.1989621512757407
620000	-1.39	3.509686595694835	-1.39	7775	0.44199999999999995	0.0001	0.3289071	1.2208417597744199
630000	-2.42	3.4847668501637226	-2.42	7898	0.43299999999999994	0.0001	0.37154543	1.2425292379326291
640000	-2.1	3.6041642581880198	-2.1	8027	0.42399999999999993	0.0001	0.36451682	1.264974289006657
650000	-2.32	4.173439828247198	-2.32	8147	0.4149999999999999	0.0001	0.39397413	1.2869180509779188
660000	-2.64	4.644394470757194	-2.64	8268	0.4059999999999999	0.0001	0.2727182	1.308541477256351
670000	-2.03	3.0478024870388176	-2.03	8400	0.3969999999999999	0.0001	0.40364093	1.3300987839698792
680000	-1.5	3.0610455730027932	-1.5	8524	0.3879999999999999	0.0001	0.29218593	1.3520814763175117
690000	-2.18	3.5843548931432556	-2.18	8641	0.379	0.0001	0.5000619	1.374119857152303
700000	-2.25	3.0736785778607367	-2.25	8765	0.37	0.0001	0.39548463	1.3961542410982979
