Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	2.5925925925925926	4.38228132081453	-inf	27	0.991	0.0001	0.007175943851470947
20000	2.7868852459016393	4.483539124976178	-inf	61	0.982	0.0001	0.00916003101401859
30000	2.4175824175824174	4.28148565687432	-inf	91	0.973	0.0001	0.016349710557195876
40000	2.2	4.142463035441596	2.2	125	0.964	0.0001	0.018375514878167045
50000	2.4	4.2708313008125245	2.4	149	0.955	0.0001	0.021989293959405687
60000	3.1	4.624932431938872	3.1	175	0.946	0.0001	0.045005141761567856
70000	3.3	4.702127178203498	3.3	204	0.9369999999999999	0.0001	0.06801228569613563
80000	2.9	4.537620521815371	2.9	241	0.9279999999999999	0.0001	0.09293681224187215
90000	2.7	4.439594576084622	2.7	259	0.919	0.0001	0.1160752683877945
100000	2.6	4.386342439892261	2.6	298	0.91	0.0001	0.1392520911826028
