Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	-1.9	3.5958309192730407	-1.9	122	0.9976	0.0001	0.0020093937052620783
20000	-1.77	4.027046063804089	-1.77	250	0.9952	0.0001	0.003373909725083245
30000	-3.26	4.056155815547524	-3.26	377	0.9928	0.0001	0.004605891307195028
40000	-2.42	3.5977215011726513	-2.42	497	0.9904	0.0001	0.005644913911819458
50000	-2.32	3.4896418154303457	-2.32	617	0.988	0.0001	0.006919373273849488
60000	-2.22	3.8563713514131392	-2.22	744	0.9856	0.0001	0.028040725853708055
70000	-2.26	3.7111184297998365	-2.26	871	0.9832	0.0001	0.048987264500723944
80000	-3.02	4.6775634683027025	-3.02	994	0.9808	0.0001	0.07045402533478207
90000	-1.7	3.5930488446443363	-1.7	1119	0.9784	0.0001	0.09164611670706008
100000	-3.11	4.314846463085332	-3.11	1233	0.976	0.0001	0.1120411459604899
110000	-2.52	3.5902089075707	-2.52	1357	0.9736	0.0001	0.13256532927354178
120000	-2.85	4.329838334164452	-2.85	1482	0.9712	0.0001	0.15311085999011995
130000	-3.4	4.33589667773576	-3.4	1602	0.9688	0.0001	0.17368985454241434
140000	-2.91	4.223967329419109	-2.91	1729	0.9664	0.0001	0.1942927458551195
150000	-2.63	4.348919406013406	-2.63	1850	0.964	0.0001	0.21492679370774162
160000	-2.53	4.1193567459009905	-2.53	1975	0.9616	0.0001	0.23555123858981664
170000	-2.56	4.336634639902236	-2.56	2096	0.9592	0.0001	0.25622556136714086
180000	-2.49	4.299988372077301	-2.49	2214	0.9568	0.0001	0.2768364772531721
190000	-2.51	4.045973306881794	-2.51	2329	0.9544	0.0001	0.29757593784067365
200000	-2.6	4.071854614300467	-2.6	2450	0.952	0.0001	0.31854627708594
210000	-2.08	3.8669884923542246	-2.08	2575	0.9496	0.0001	0.3393129493130578
220000	-3.0	4.324349662087931	-3.0	2694	0.9472	0.0001	0.3600260466337204
230000	-2.24	4.416152171291202	-2.24	2820	0.9448	0.0001	0.3806845560338762
240000	-2.23	3.7198252647133843	-2.23	2942	0.9424	0.0001	0.401400163769722
250000	-2.35	4.570284455042159	-2.35	3064	0.94	0.0001	0.4223373262749778
260000	-2.81	4.0489381323996545	-2.81	3193	0.9376	0.0001	0.44288444976011915
270000	-2.88	4.402908129861444	-2.88	3313	0.9352	0.0001	0.4636191164122687
280000	-3.11	4.319479135266195	-3.11	3426	0.9328	0.0001	0.4844490594996346
290000	-2.33	4.18582130531154	-2.33	3547	0.9304	0.0001	0.505012243853675
300000	-2.28	3.7472122971617177	-2.28	3673	0.9279999999999999	0.0001	0.5257970230446921
310000	-2.34	4.106628787704095	-2.34	3798	0.9256	0.0001	0.546418437494172
320000	-3.27	4.406483859042264	-3.27	3921	0.9232	0.0001	0.5671527610222499
330000	-2.87	4.318923476978957	-2.87	4044	0.9208000000000001	0.0001	0.5882243365049362
340000	-2.26	4.033906295391603	-2.26	4170	0.9184	0.0001	0.6089177365435494
350000	-2.39	3.992229953296778	-2.39	4296	0.916	0.0001	0.6297014656331804
360000	-2.46	3.806363093557944	-2.46	4421	0.9136	0.0001	0.6509148810307185
370000	-1.88	3.5784913022110314	-1.88	4537	0.9112	0.0001	0.6719355703724755
380000	-2.0	4.08656334834051	-2.0	4656	0.9088	0.0001	0.6930037562714683
390000	-2.55	3.811495769379785	-2.55	4777	0.9064	0.0001	0.714109807478057
400000	-3.02	3.9140260602096144	-3.02	4901	0.904	0.0001	0.7353043705224991
410000	-2.44	3.9606060142357005	-2.44	5023	0.9016	0.0001	0.7568533433808221
420000	-2.67	4.259237020875922	-2.67	5146	0.8992	0.0001	0.7780076385206647
