Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Avg_IntrReward_Last_100_Episodes	Elapsed_Time_Hours
10000	-0.89	2.509561714722314	-0.89	141	0.991	0.0001	nan	0.006039366324742635
20000	-1.32	2.6939933184772378	-1.32	278	0.982	0.0001	nan	0.009621736142370435
30000	-1.51	2.9205992535779366	-1.51	414	0.973	0.0001	nan	0.013301662471559313
40000	-1.02	2.3237039398339885	-1.02	549	0.964	0.0001	nan	0.016808904939227633
50000	-1.36	2.769548699698202	-1.36	690	0.955	0.0001	nan	0.020025484297010634
60000	-1.75	3.320767983464066	-1.75	820	0.946	0.0001	0.5241479	0.044233179688453673
70000	-0.79	2.4053897813036453	-0.79	946	0.9369999999999999	0.0001	0.35015133	0.06762973699304793
80000	-1.72	3.510213668710211	-1.72	1064	0.9279999999999999	0.0001	0.2913269	0.0914043222533332
90000	-0.86	2.5299011838409813	-0.86	1187	0.919	0.0001	0.3412159	0.11498642517460717
100000	-1.69	3.4283961264708025	-1.69	1304	0.91	0.0001	0.50631785	0.1383868760532803
110000	-1.9	3.442382895611701	-1.9	1418	0.901	0.0001	0.38174182	0.1620248430305057
120000	-1.98	3.295390720385065	-1.98	1533	0.892	0.0001	0.3129658	0.18548149777783288
130000	-2.08	3.2393826572357884	-2.08	1636	0.883	0.0001	0.3803513	0.2087194060617023
140000	-1.41	2.6724333480930818	-1.41	1751	0.874	0.0001	0.19743578	0.23271606021457247
150000	-1.24	2.634843448859913	-1.24	1872	0.865	0.0001	0.35853803	0.25630609578556485
160000	-1.65	2.8995689334795953	-1.65	2001	0.856	0.0001	0.25200748	0.2797869404157003
170000	-1.58	2.6913936910084333	-1.58	2123	0.847	0.0001	1.0902615	0.3038671261072159
180000	-0.84	2.44425857879235	-0.84	2259	0.838	0.0001	0.52805823	0.3276268861028883
190000	-1.4	3.162277660168379	-1.4	2389	0.829	0.0001	1.2221714	0.351145491666264
200000	-1.23	2.545014734731412	-1.23	2508	0.82	0.0001	0.8161037	0.3752358220683204
210000	-1.32	3.107667935928805	-1.32	2634	0.8109999999999999	0.0001	0.6108457	0.39886207706398435
220000	-1.59	2.6042081330031976	-1.59	2757	0.802	0.0001	0.8260168	0.42279754771126643
230000	-1.08	2.348105619430267	-1.08	2886	0.7929999999999999	0.0001	0.39992082	0.4479440881808599
240000	-1.44	2.89937924390722	-1.44	3016	0.784	0.0001	0.4406265	0.4735103189945221
250000	-0.81	2.0913870995107526	-0.81	3153	0.775	0.0001	0.40241832	0.49734447518984476
260000	-1.44	2.483223711227001	-1.44	3283	0.766	0.0001	0.47750393	0.5211109217007955
