Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	-2.62	4.132263302356228	-2.62	123	0.991	0.0001	0.004005119535658095
20000	-2.63	4.0611697822179265	-2.63	239	0.982	0.0001	0.00594543801413642
30000	-2.42	3.7661120535639934	-2.42	361	0.973	0.0001	0.007840519613689846
40000	-2.17	3.8988588073948	-2.17	481	0.964	0.0001	0.008844538662168715
50000	-3.13	4.051308430618435	-3.13	607	0.955	0.0001	0.010304429994689094
60000	-2.4	3.6633318168028404	-2.4	732	0.946	0.0001	0.03328225957022773
70000	-3.09	3.9852101575701124	-3.09	861	0.9369999999999999	0.0001	0.055515174269676205
80000	-2.63	4.011620620148421	-2.63	985	0.9279999999999999	0.0001	0.07785460889339448
90000	-2.45	4.0972551787751765	-2.45	1115	0.919	0.0001	0.10076803167661032
100000	-2.01	3.7960374076133654	-2.01	1243	0.91	0.0001	0.1230118512445026
110000	-2.41	3.8835421975304962	-2.41	1363	0.901	0.0001	0.14505124363634322
120000	-2.83	4.556435009961187	-2.83	1481	0.892	0.0001	0.16702215472857157
130000	-2.87	3.9310431185628074	-2.87	1600	0.883	0.0001	0.18891489499145084
140000	-2.29	3.702148025133517	-2.29	1724	0.874	0.0001	0.2109800193707148
150000	-2.13	3.6377328104191493	-2.13	1842	0.865	0.0001	0.2332407530148824
160000	-1.61	3.8337840314759517	-1.61	1962	0.856	0.0001	0.25552734242545233
170000	-2.43	4.294775896365258	-2.43	2084	0.847	0.0001	0.2785051470994949
180000	-2.27	3.882924155839256	-2.27	2200	0.838	0.0001	0.3010863298177719
190000	-1.6	3.7894590642992836	-1.6	2326	0.829	0.0001	0.32360464844438763
200000	-1.92	4.446751623376327	-1.92	2436	0.82	0.0001	0.3459956603580051
210000	-2.71	3.896909031527423	-2.71	2556	0.8109999999999999	0.0001	0.36852049708366397
220000	-2.4	3.903844259188627	-2.4	2688	0.802	0.0001	0.39107785324255623
230000	-2.67	4.07198968564509	-2.67	2804	0.7929999999999999	0.0001	0.41363775193691255
240000	-2.36	3.9711962933101153	-2.36	2927	0.784	0.0001	0.43615995433595445
250000	-2.12	3.685864891718089	-2.12	3055	0.775	0.0001	0.45921514676676856
260000	-3.15	4.184196458102798	-3.15	3178	0.766	0.0001	0.4817781178156535
270000	-2.62	3.9718509539004607	-2.62	3302	0.757	0.0001	0.5045071686638726
280000	-2.79	4.517289010014746	-2.79	3419	0.748	0.0001	0.5271860116057926
290000	-3.03	4.414646078679468	-3.03	3533	0.739	0.0001	0.550042076839341
300000	-2.24	3.8029462262829847	-2.24	3658	0.73	0.0001	0.5729435286919276
310000	-2.09	3.779140113835421	-2.09	3784	0.721	0.0001	0.5959309752119912
320000	-2.23	4.105739884600582	-2.23	3909	0.712	0.0001	0.6191449892520905
330000	-1.97	4.196319816219922	-1.97	4033	0.703	0.0001	0.6424589479631848
340000	-1.64	4.075585847458007	-1.64	4157	0.694	0.0001	0.6653232727448145
350000	-1.62	4.0466776496281485	-1.62	4280	0.685	0.0001	0.6883633031447729
360000	-1.56	3.2659454986267	-1.56	4400	0.6759999999999999	0.0001	0.7115257439348432
370000	-1.67	4.154647999530165	-1.67	4518	0.667	0.0001	0.734640894068612
380000	-2.75	4.635461142108733	-2.75	4638	0.6579999999999999	0.0001	0.757730577190717
390000	-1.72	3.5863072930244	-1.72	4762	0.649	0.0001	0.7808855536248949
400000	-1.73	4.03200942459216	-1.73	4879	0.6399999999999999	0.0001	0.804066048529413
410000	-1.22	3.378105978207315	-1.22	5001	0.631	0.0001	0.82815528108014
420000	-2.04	3.786607980765899	-2.04	5126	0.622	0.0001	0.8687360863553153
430000	-1.62	3.8672470828743277	-1.62	5240	0.613	0.0001	0.9145369374752045
440000	-1.73	3.9996374835727297	-1.73	5361	0.604	0.0001	0.9599674250682195
450000	-1.54	3.772055142757062	-1.54	5480	0.595	0.0001	1.0052610539065467
460000	-2.13	3.825323515730402	-2.13	5603	0.586	0.0001	1.0505699107382032
470000	-2.68	4.347136988869801	-2.68	5721	0.577	0.0001	1.0960109745131599
480000	-1.35	3.7559952076646743	-1.35	5833	0.5680000000000001	0.0001	1.1414956800805198
490000	-1.95	3.8350358538089315	-1.95	5953	0.5589999999999999	0.0001	1.1869214996364381
500000	-1.93	4.377796249256011	-1.93	6060	0.55	0.0001	1.2332691582706239
510000	-1.12	3.505082024717824	-1.12	6176	0.5409999999999999	0.0001	1.2786643810404672
520000	-2.4	3.8574603043971822	-2.4	6298	0.532	0.0001	1.324304066962666
530000	-2.1	3.782856063875547	-2.1	6415	0.5229999999999999	0.0001	1.37020212829113
540000	-0.14	3.343710513785546	-0.14	6528	0.514	0.0001	1.4160236553351084
550000	-1.7	4.448595283907045	-1.7	6648	0.5049999999999999	0.0001	1.4618408203787274
560000	-2.36	4.401181659509183	-2.36	6760	0.4959999999999999	0.0001	1.507783154712783
570000	-2.0	4.379497688091638	-2.0	6871	0.487	0.0001	1.5535757511854171
580000	-1.79	3.853037762597195	-1.79	6979	0.478	0.0001	1.5996577056248982
590000	-1.5	3.856163896931768	-1.5	7093	0.469	0.0001	1.6489125918679768
600000	-1.31	4.385647044621808	-1.31	7206	0.45999999999999996	0.0001	1.6950459977653292
610000	-1.65	4.157823950096974	-1.65	7314	0.45099999999999996	0.0001	1.7410859707991282
620000	-0.71	4.0578196115648115	-0.71	7415	0.44199999999999995	0.0001	1.7871614348226124
630000	-2.12	3.808621797973645	-2.12	7524	0.43299999999999994	0.0001	1.8333084358109368
640000	-0.98	3.5692576258936537	-0.98	7634	0.42399999999999993	0.0001	1.8792632604307598
650000	-0.88	3.6146369112263543	-0.88	7741	0.4149999999999999	0.0001	1.9256027360094918
660000	-1.21	4.299523229382531	-1.21	7839	0.4059999999999999	0.0001	1.9717042320304448
670000	-0.82	3.326800264518446	-0.82	7942	0.3969999999999999	0.0001	2.0182103046443727
680000	-0.34	3.4705042861232718	-0.34	8030	0.3879999999999999	0.0001	2.065928011337916
690000	-1.21	3.8243823030654247	-1.21	8131	0.379	0.0001	2.1125916634665596
700000	-0.94	4.175691559490476	-0.94	8225	0.37	0.0001	2.159194576409128
710000	-0.85	4.038254573451258	-0.85	8312	0.361	0.0001	2.2058842198053994
720000	-1.17	3.7418043775697307	-1.17	8403	0.352	0.0001	2.2526509084304176
730000	-0.81	3.7648240330724616	-0.81	8489	0.34299999999999997	0.0001	2.2990025271309746
740000	-0.26	3.615577408934844	-0.26	8572	0.33399999999999996	0.0001	2.345652917822202
750000	-0.46	4.104680255513211	-0.46	8663	0.32499999999999996	0.0001	2.392475225130717
760000	-0.81	4.610195223632075	-0.81	8740	0.31599999999999995	0.0001	2.43927422563235
770000	-1.1	5.391660226683429	-1.1	8814	0.30699999999999994	0.0001	2.4859971472289826
780000	-1.01	4.255572816907261	-1.01	8894	0.29799999999999993	0.0001	2.532671025792758
790000	-0.71	4.28087607856149	-0.71	8968	0.2889999999999999	0.0001	2.579381510151757
800000	-0.59	5.246131908368298	-0.59	9034	0.2799999999999999	0.0001	2.6286793166399
810000	-0.19	4.4310156849192035	-0.19	9105	0.2709999999999999	0.0001	2.6765061712265013
820000	-0.42	4.188508087613058	-0.42	9184	0.262	0.0001	2.724690764612622
830000	-0.67	4.41826889177198	-0.67	9246	0.253	0.0001	2.772603759368261
840000	0.0	5.253570214625479	0.0	9303	0.244	0.0001	2.8196090657843484
